time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.32999999999999996,0.050000000000000044,1.0,0.0,1.0
0.1,0.6173958801075663,0.55,0.3036,-0.06739588010756625,0.0,0.0,0.0
0.2,0.7165205639563189,0.55,0.279312,-0.16652056395631887,0.0,0.0,0.0
0.30000000000000004,0.8295444107644613,0.55,0.0,-0.27954441076446124,-1.0,-1.0,-1.0
0.4,0.9484926996131746,0.55,0.0,-0.3984926996131746,0.0,0.0,0.0
0.5,1.0327238129096303,0.55,0.0,-0.4827238129096303,0.0,0.0,0.0
0.6000000000000001,1.1193354831535876,0.55,0.0,-0.5693354831535875,-1.0,-1.0,-1.0
0.7000000000000001,1.2160232514950886,0.55,0.0,-0.6660232514950886,0.0,0.0,0.0
0.8,1.3035546717757243,0.55,0.0,-0.7535546717757242,0.0,0.0,0.0
0.9,1.3898115486633964,0.55,0.0,-0.8398115486633964,-1.0,-1.0,-1.0
1.0,1.4634992003237928,0.55,0.0,-0.9134992003237927,0.0,0.0,0.0
1.1,1.5509174818298848,0.55,0.0,-1.0009174818298847,0.0,0.0,0.0
1.2000000000000002,1.6330562630434273,0.55,0.0,-1.0830562630434273,-1.0,-1.0,-1.0
1.3,1.704071476247698,0.55,0.0,-1.154071476247698,0.0,0.0,0.0
1.4000000000000001,1.7822353417288601,0.55,0.0,-1.23223534172886,0.0,0.0,0.0
1.5,1.8499897918600976,0.55,0.0,-1.2999897918600976,-1.0,-1.0,-1.0
1.6,1.901171800414444,0.55,0.0,-1.351171800414444,0.0,0.0,0.0
1.7000000000000002,1.962138065426043,0.55,0.0,-1.412138065426043,0.0,0.0,0.0
1.8,2.0068546367578692,0.55,0.0,-1.4568546367578692,-1.0,-1.0,-1.0
1.9000000000000001,2.06776368419285,0.55,0.0,-1.5177636841928501,0.0,0.0,0.0
2.0,2.116418400208379,0.55,0.0,-1.5664184002083787,0.0,0.0,0.0
2.1,2.1613508331974853,0.55,0.0,-1.6113508331974853,-1.0,-1.0,-1.0
2.2,2.199131213762543,0.55,0.0,-1.6491312137625431,0.0,0.0,0.0
2.3000000000000003,2.2541037322556408,0.55,0.0,-1.7041037322556407,0.0,0.0,0.0
2.4000000000000004,2.2926245011777566,0.55,0.0,-1.7426245011777566,-1.0,-1.0,-1.0
2.5,2.326528606629923,0.55,0.0,-1.7765286066299228,0.0,0.0,0.0
2.6,2.3595411320641473,0.55,0.0,-1.8095411320641472,0.0,0.0,0.0
2.7,2.3997880449946756,0.55,0.0,-1.8497880449946755,-1.0,-1.0,-1.0
2.8000000000000003,2.4364034416076197,0.55,0.0,-1.8864034416076196,0.0,0.0,0.0
2.9000000000000004,2.471705969727935,0.55,0.0,-1.9217059697279348,0.0,0.0,0.0
3.0,2.505467657149362,0.55,0.0,-1.9554676571493619,-1.0,-1.0,-1.0
3.1,2.5546910336240445,0.55,0.0,-2.004691033624044,0.0,0.0,0.0
3.2,2.5760331315274883,0.55,0.0,-2.0260331315274884,0.0,0.0,0.0
3.3000000000000003,2.5952760859069492,0.55,0.0,-2.0452760859069494,-1.0,-1.0,0.0
3.4000000000000004,2.610565250335254,0.55,0.0,-2.0605652503352543,0.0,0.0,0.0
3.5,2.6394062749237213,0.55,0.0,-2.0894062749237214,0.0,0.0,0.0
3.6,2.6719706348464736,0.55,0.0,-2.1219706348464733,-1.0,-1.0,-1.0
3.7,2.69051761469127,0.55,0.0,-2.1405176146912703,0.0,0.0,0.0
3.8000000000000003,2.7008979574621854,0.55,0.0,-2.1508979574621856,0.0,0.0,0.0
3.9000000000000004,2.7109287975549963,0.55,0.0,-2.1609287975549965,-1.0,-1.0,0.0
4.0,2.7352211678388985,0.55,0.0,-2.1852211678388986,0.0,0.0,0.0
4.1000000000000005,2.7592553990776008,0.55,0.0,-2.209255399077601,0.0,0.0,0.0
4.2,2.780116467998126,0.55,0.0,-2.2301164679981262,-1.0,-1.0,0.0
4.3,2.787873490825928,0.55,0.0,-2.237873490825928,0.0,0.0,0.0
4.4,2.8042289094898116,0.55,0.0,-2.254228909489812,0.0,0.0,0.0
4.5,2.8186319098336656,0.55,0.0,-2.2686319098336654,-1.0,-1.0,0.0
4.6000000000000005,2.8333524954377163,0.55,0.0,-2.2833524954377165,0.0,0.0,0.0
4.7,2.8538825514223625,0.55,0.0,-2.3038825514223626,0.0,0.0,0.0
4.800000000000001,2.86693301246987,0.55,0.0,-2.31693301246987,-1.0,-1.0,0.0
4.9,2.883900175164532,0.55,0.0,-2.3339001751645316,0.0,0.0,0.0
5.0,2.893926494634155,0.55,0.0,-2.3439264946341547,0.0,0.0,0.0
5.1000000000000005,3.175679228025116,0.55,0.0,-2.625679228025116,-1.0,-1.0,-1.0
5.2,3.447112406731588,0.55,0.0,-2.897112406731588,0.0,0.0,0.0
5.300000000000001,3.684423192646003,0.55,0.0,-3.134423192646003,0.0,0.0,0.0
5.4,3.9215350409941676,0.55,0.0,-3.371535040994168,-1.0,-1.0,-1.0
5.5,4.1455757936613375,0.55,0.0,-3.5955757936613377,0.0,0.0,0.0
5.6000000000000005,4.3570048979461315,0.55,0.0,-3.8070048979461317,0.0,0.0,0.0
5.7,4.561759839107824,0.55,0.0,-4.011759839107824,-1.0,-1.0,-1.0
5.800000000000001,4.774229599577349,0.55,0.0,-4.224229599577349,0.0,0.0,0.0
5.9,4.952729363283303,0.55,0.0,-4.402729363283303,0.0,0.0,0.0
6.0,5.140864685489679,0.55,0.0,-4.590864685489679,-1.0,-1.0,-1.0
6.1000000000000005,5.293313058498233,0.55,0.0,-4.7433130584982335,0.0,0.0,0.0
6.2,5.451806284037531,0.55,0.0,-4.901806284037531,0.0,0.0,0.0
6.300000000000001,5.607546084705446,0.55,0.0,-5.0575460847054465,-1.0,-1.0,-1.0
6.4,5.759925058329187,0.55,0.0,-5.209925058329187,0.0,0.0,0.0
6.5,5.906122464199643,0.55,0.0,-5.356122464199643,0.0,0.0,0.0
6.6000000000000005,6.046010945003365,0.55,0.0,-5.496010945003365,-1.0,-1.0,-1.0
6.7,6.1676562610180845,0.55,0.0,-5.617656261018085,0.0,0.0,0.0
6.800000000000001,6.282232597759812,0.55,0.0,-5.732232597759812,0.0,0.0,0.0
6.9,6.404424257359263,0.55,0.0,-5.8544242573592635,-1.0,-1.0,-1.0
7.0,6.510163757337448,0.55,0.0,-5.960163757337448,0.0,0.0,0.0
