iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.2145048156406376,5.300000000000001,-0.0006540359397652462,3.1994125035898646,1.0270165331949215,25,95
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.1638155747057345,5.300000000000001,-0.009879757762262886,3.416147727792193,1.265772881626754,37,113
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.31065447154340453,5.300000000000001,-0.007463624533946345,2.6177654272808324,0.8121277614961957,30,102
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.15846636648459445,5.300000000000001,0.00545137167068066,3.538418853899794,1.3555361905486132,38,115
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.19985217564804236,5.300000000000001,-0.0008547771493513823,3.3000155892601857,1.1727110887351795,34,108
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.22152400402494132,5.300000000000001,-0.004894629339994549,3.1009983353477324,1.0043100549351778,26,98
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.2935114959109629,5.300000000000001,-0.0028285860326432155,2.699145720618573,0.8468285293250478,28,104
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.3383363162103553,5.300000000000001,-0.0017091171686131057,2.4747139442414468,0.7784534675337275,31,100
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.12516450665442513,5.300000000000001,0.0008720349427915608,3.752011921474093,1.6735397824927507,53,116
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.3148616062978251,5.300000000000001,-0.0032662537122079118,2.572602648541746,0.8137415081243694,32,104
