iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.44112176877504417,1.2000000000000002,-0.2324989977718418,6.590366034268105,2.626182838242276,37,187
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.40562621162006973,1.2000000000000002,-0.2171217999034938,7.035341277302198,3.0808035388371056,54,196
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.5764142294995167,1.2000000000000002,-0.38424739440186073,4.556162737662078,1.5945896696222113,43,173
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.39936887917982755,1.2000000000000002,-0.21314850294431248,7.074849826510252,3.241802271595125,63,192
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.4064990518483804,1.2000000000000002,-0.21770712110817297,6.971612808248273,3.040667894834196,48,192
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.4823523163931247,1.2000000000000002,-0.26212641495850053,6.127035496125963,2.3557670609703965,39,187
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.5569194616953248,1.2000000000000002,-0.36461062552650925,4.8968704941627115,1.778611380184807,44,174
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.5877260241394338,1.2000000000000002,-0.4120001813175293,4.254470697573619,1.5423152401544749,43,161
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.31905924474873293,1.2000000000000002,-0.14353373348204823,8.321175525966922,4.692416916648908,87,191
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.5622006398593777,1.2000000000000002,-0.3846339409031467,4.692142370498341,1.7202106943183075,43,177
