iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.45728730764521575,1.3,-0.2474326308989241,5.4537583520279425,2.180629994545215,32,149
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.4477254454623232,1.3,-0.24331994734592968,5.837004741862945,2.5688516491571205,48,160
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.5887677892095484,1.3,-0.38822119997460575,3.780034208103695,1.2706292929572827,35,145
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.44654070931478773,1.3,-0.24055477097410236,5.753804117995031,2.5939461935357224,57,160
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.45171976661314805,1.3,-0.24285860913210447,5.636318111353778,2.3516141325188413,40,160
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.4959048907162733,1.3,-0.28601722623745707,4.9366691816427055,1.8214260969380018,31,152
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.5686675746903505,1.3,-0.37231525225398976,4.199251446543659,1.552496353329149,36,147
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.6166912474021669,1.3,-0.4119056917369271,3.4365903057336973,1.1981728979390742,35,132
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.4167455041011404,1.3,-0.22733178102619425,6.39841026223594,3.2877403972075885,70,162
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.5862709855208748,1.3,-0.3893087497255188,3.917763426742676,1.4319411643406132,37,146
