scenario,algo_name,N_events,N_du
baseline_burst,pid,44,44
baseline_burst,pid_deadzone,44,44
baseline_burst,event_pid,33,33
baseline_burst,lif_snn,68,68
baseline_burst,trinc,26,98
burst_chain,pid,56,56
burst_chain,pid_deadzone,56,56
burst_chain,event_pid,46,46
burst_chain,lif_snn,156,156
burst_chain,trinc,37,187
idle_recovery,pid,59,59
idle_recovery,pid_deadzone,51,51
idle_recovery,event_pid,51,51
idle_recovery,lif_snn,114,114
idle_recovery,trinc,41,147
noisy_lab,pid,52,52
noisy_lab,pid_deadzone,51,51
noisy_lab,event_pid,45,45
noisy_lab,lif_snn,53,53
noisy_lab,trinc,17,67
thermal_shock,pid,38,38
thermal_shock,pid_deadzone,35,35
thermal_shock,event_pid,36,36
thermal_shock,lif_snn,94,94
thermal_shock,trinc,37,118
tracking_drill,pid,87,87
tracking_drill,pid_deadzone,74,74
tracking_drill,event_pid,77,77
tracking_drill,lif_snn,66,66
tracking_drill,trinc,18,56
progressive_ramp,pid,63,63
progressive_ramp,pid_deadzone,59,59
progressive_ramp,event_pid,58,58
progressive_ramp,lif_snn,137,137
progressive_ramp,trinc,38,166
sensor_edge,pid,50,50
sensor_edge,pid_deadzone,47,47
sensor_edge,event_pid,44,44
sensor_edge,lif_snn,78,78
sensor_edge,trinc,23,100
cooling_loss,pid,44,44
cooling_loss,pid_deadzone,46,46
cooling_loss,event_pid,34,34
cooling_loss,lif_snn,139,139
cooling_loss,trinc,31,152
thermal_resilience,pid,68,68
thermal_resilience,pid_deadzone,69,69
thermal_resilience,event_pid,64,64
thermal_resilience,lif_snn,130,130
thermal_resilience,trinc,34,178
