iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.4651659074360841,0.1,-0.15055030255512972,4.964643287902361,1.884295835760285,42,148
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.3846621489376335,0.1,-0.1386861266825873,5.394015697888802,2.358696386360307,57,150
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.5631345400733798,0.1,-0.2718532394299833,3.7150693065478695,1.2808199257105637,43,144
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.3917500358192848,0.1,-0.11882463833216354,5.591672622783621,2.4809169742426747,68,157
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.4372913834982114,0.1,-0.1461432088175249,5.262056374720489,2.1877271801081473,53,152
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.4887364755257819,0.1,-0.16393186120161093,4.614838242071676,1.6942740215465273,41,147
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.5509123043209552,0.1,-0.25433597162359955,3.9106082427779585,1.3659216724243084,44,145
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.5605397278470186,0.1,-0.29916788953170087,3.4844556354259577,1.2768534797297066,45,132
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.29541299636729246,0.1,-0.11231436736230783,6.113743122255863,3.226726788703717,82,151
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.5642543026402038,0.1,-0.27412020818149824,3.6508642713537327,1.2637491517868904,43,144
