iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.24823894102478317,2.2,0.0071687020597922865,2.4141034626621463,0.7784536711934829,17,67
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.25257029483913773,2.2,0.006795356711716466,2.6172202912880786,0.9746216969102437,26,91
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.35381527770100485,2.2,-0.000569860523744109,2.11916173057263,0.6343708044879508,21,86
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.22020460920551244,2.2,0.008817404996760059,2.8470478528917043,1.1772675395042989,34,92
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.2397943793736147,2.2,0.012928359213349155,2.6539744330749144,0.9953338270987658,27,92
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.2733215825873587,2.2,-0.006544591655171433,2.4123919558210427,0.7682609709128629,21,75
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.3389189778504812,2.2,0.003590858853481532,2.1610675333854843,0.6696594291912734,25,86
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.3771905485611171,2.2,0.01793966549601276,2.0476236589365313,0.6363305840606897,26,87
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.17702043490744013,2.2,0.0038982699676821386,3.1956192871878066,1.539526343422615,46,95
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.35529066602661963,2.2,-0.0004999514196171451,2.132911850259387,0.6602047442562272,22,88
