iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.5774667238493568,5.7,-0.5119916212143379,5.845937572226086,2.2220568358810304,38,166
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.569458181838061,5.7,-0.5042199900130704,6.013398224314014,2.4684397193344316,56,179
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.7375226051507623,5.7,-0.6771888471912948,3.9764668662512976,1.2417078301363738,42,160
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.5323871152869463,5.7,-0.48250307793304625,6.140387748051167,2.66356855835631,63,181
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.5625396926083989,5.7,-0.5050873054759758,5.869435077874539,2.3409676581946837,47,176
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.6133919678124958,5.7,-0.5551877380231155,5.294453426846756,1.8768747885891934,37,167
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.7428291227179146,5.7,-0.6612179464295997,4.24936821205087,1.4246425574761963,46,160
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.7729273229537655,5.7,-0.7059901448942296,3.606752769375929,1.1437408759632774,41,146
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.43620521443986127,5.7,-0.37466161848141516,7.361952069401494,4.2153182299035885,92,176
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.7398880701936691,5.7,-0.6785413576281949,4.025688755718505,1.3059507910922858,43,162
