iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.23474158115717192,2.9000000000000004,-0.10777415223834477,3.0432865146470744,1.0295230340853696,24,99
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.17001261019588565,2.9000000000000004,-0.10265914370471832,3.35861040897335,1.3545008816266673,31,105
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.28907877654275205,2.9000000000000004,-0.15825471060413637,2.627024260018314,0.8549855573207661,27,105
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.17961015693373972,2.9000000000000004,-0.04964344093052976,3.6252427135951666,1.4641174035549471,40,114
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.21227355145012672,2.9000000000000004,-0.08907640003154689,3.111901133804828,1.104688477377683,28,103
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.21707322395563722,2.9000000000000004,-0.11278745296596884,3.049160513922006,0.9917611309359838,23,100
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.2725090038613104,2.9000000000000004,-0.14495247130385608,2.811860060120379,0.9506267482516635,27,105
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.32139117274870976,2.9000000000000004,-0.17568401075933635,2.5301074757386117,0.8369404837549276,31,103
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.12093898689666294,2.9000000000000004,-0.02597017180303656,3.959647420627256,1.9405752627218147,48,110
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.2903718262447842,2.9000000000000004,-0.15739014943734425,2.683388206508648,0.9142170338364407,27,106
