iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.2538428634804055,7.5,-0.17240994249296154,4.026244475732206,1.5494595748533317,37,118
2.0,1,0.021,0.024999999999999998,0.055,0.035,0.24,0.8,0.4,0.125,0.33,6.0,0.256,0.2718412377895174,7.5,-0.13371153707904132,4.244926875586677,1.763071508130738,51,123
3.0,2,0.023,0.026999999999999996,0.049,0.035,0.24,0.78,0.38,0.125,0.31,9.0,0.276,0.37584935016535526,7.5,-0.2762884345263224,2.7336710134041975,0.9101598856692817,40,107
4.0,3,0.018000000000000002,0.023,0.055,0.032,0.24,0.76,0.42000000000000004,0.125,0.35000000000000003,5.0,0.236,0.24187614905871746,7.5,-0.11956076889774155,4.397946608589336,1.9365085570411957,63,122
5.0,4,0.026000000000000002,0.03,0.051000000000000004,0.035,0.24,0.83,0.37,0.14,0.32,7.0,0.28600000000000003,0.28416439913977776,7.5,-0.14699566728981633,4.0836365894709115,1.6660066397691626,44,120
6.0,5,0.031,0.033999999999999996,0.055,0.035,0.24,0.86,0.34,0.125,0.29000000000000004,9.0,0.331,0.3086460944657029,7.5,-0.17772644043965308,3.7129639592584995,1.3682278550843157,38,117
7.0,6,0.022000000000000002,0.025999999999999995,0.048,0.035,0.255,0.79,0.39,0.125,0.33,9.0,0.266,0.36794844498997625,7.5,-0.25866535988319417,2.8576850645142504,0.9730395794412483,39,106
8.0,7,0.020000000000000004,0.023999999999999997,0.055,0.031000000000000003,0.25,0.74,0.41000000000000003,0.125,0.34,9.0,0.246,0.39840391980500145,7.5,-0.3033811804902836,2.458573972415111,0.8307949051583201,39,96
9.0,8,0.013000000000000001,0.018,0.043,0.035,0.24,0.7,0.46,0.125,0.39,4.0,0.136,0.22402911328366004,7.5,-0.10857509706857345,4.5622721303264715,2.1645445586594185,74,120
10.0,9,0.021,0.024999999999999998,0.055,0.030000000000000002,0.26,0.77,0.4,0.125,0.33,9.0,0.226,0.3862159366961132,7.5,-0.2781225879802745,2.666736482105759,0.8956298931815848,38,106
