iteration,variant,tau_p,tau_s,theta_h,alpha_h,w_h,rho,a_p,a_h,a_s,refractory_steps,base_cooling,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
1.0,0,0.033,0.036,0.055,0.035,0.24,0.88,0.32,0.125,0.27,9.0,0.316,0.10299497563129734,0.4,0.001067578179198331,1.8213311176492262,0.38420948182472575,20,71
2.0,1,0.039,0.040999999999999995,0.055,0.035,0.19,0.8200000000000001,0.18,0.08,0.15000000000000002,9.0,0.136,0.09850907579446,0.4,-0.023410348285185248,1.2451467746884344,0.1438476644980564,18,56
3.0,2,0.041,0.043,0.061,0.023000000000000003,0.24,0.78,0.14,0.075,0.11000000000000001,5.0,0.096,0.09847706767962283,0.4,-0.030683591664540082,1.2300361218451916,0.1260252503566453,23,69
4.0,3,0.043000000000000003,0.045,0.055,0.035,0.19999999999999998,0.8,0.2,0.08499999999999999,0.17,9.0,0.156,0.10108904723199896,0.4,-0.03809926300740205,1.3053111895084766,0.18466058307498626,23,69
5.0,4,0.045,0.047,0.063,0.021000000000000005,0.24,0.76,0.16,0.125,0.13,4.0,0.11599999999999999,0.09556954018383124,0.4,-0.030016284303781074,1.4435426903203912,0.22937168094454813,31,91
6.0,5,0.038,0.039999999999999994,0.055,0.035,0.21,0.83,0.22,0.125,0.19,9.0,0.196,0.10293422099933525,0.4,-0.018443477550470013,1.3645535877269326,0.2021245295692781,19,63
7.0,6,0.047,0.048999999999999995,0.065,0.019000000000000003,0.24,0.74,0.13,0.125,0.1,3.0,0.07600000000000001,0.09341333293429455,0.4,-0.029739060167319822,1.3103939710753636,0.15383203711796192,32,99
8.0,7,0.04,0.041999999999999996,0.055,0.025,0.24,0.81,0.21000000000000002,0.125,0.18000000000000002,9.0,0.176,0.09866797190602972,0.4,-0.03457220600467525,1.3343610033284146,0.186649916638601,21,65
9.0,8,0.049,0.049999999999999996,0.067,0.017000000000000005,0.24,0.72,0.12,0.125,0.09000000000000002,2.0,0.055999999999999994,0.09384271623870766,0.4,-0.036991849025914875,1.3435532156270318,0.18755187092341724,36,99
10.0,9,0.042,0.044,0.055,0.035,0.205,0.79,0.2,0.125,0.17,9.0,0.216,0.09146929304783158,0.4,-0.027372987179563497,1.2544922471850204,0.14789044962994966,16,66
